id,pt_in,pt_out,tt_in,tt_out,vf_fr,vf_td,vf_su,pt_in_s,pt_out_s,tt_in_s,tt_out_s,vf_fr_s,vf_td_s,vf_su_s
1119,649.0,702.16,442.24,392.24,459.94,802.31,807.4,910.69,625.01,672.37,422.32,733.7,607.34,830.68
1120,650.0,46.28,936.42,483.43,600.23,787.86,111.72,826.95,454.28,854.18,897.5,564.14,385.52,698.99
1121,651.0,742.46,242.21,372.21,673.52,304.21,647.89,798.14,636.36,102.15,979.6,662.57,524.41,809.59
1122,652.0,263.82,425.7,876.12,791.71,876.95,125.64,571.61,836.81,707.2,128.54,848.17,944.82,233.93
1123,653.0,839.04,189.49,787.8,887.72,688.68,240.81,386.8,819.05,437.38,683.3,797.82,848.57,985.58
1124,654.0,809.84,375.47,370.54,979.26,33.61,563.72,523.82,542.71,199.97,254.27,968.99,258.79,590.81
1125,655.0,768.65,476.21,173.19,384.08,143.75,201.5,738.69,738.91,30.82,831.71,657.61,94.49,408.37
1126,656.0,248.58,170.61,909.2,939.4,535.95,39.67,489.74,555.86,480.66,372.12,444.3,717.96,203.53
1127,657.0,345.62,956.35,71.55,385.22,2.35,708.29,474.38,608.39,714.2,949.44,166.7,889.07,446.52
1128,658.0,834.27,752.44,411.99,658.26,608.76,696.98,737.99,147.92,397.86,417.05,886.94,874.8,577.32
1129,659.0,405.89,11.65,472.23,978.29,796.91,690.61,887.76,782.16,377.19,752.2,583.21,20.28,105.94
1130,660.0,693.76,484.27,774.26,144.69,908.66,484.74,916.45,370.23,0.5,1.84,897.12,646.27,390.74
1131,661.0,24.22,766.14,454.9,797.88,144.05,909.82,962.44,316.27,105.55,167.1,793.96,310.6,132.78
1132,662.0,510.02,157.04,897.17,55.66,537.32,703.39,880.67,592.51,802.57,759.73,741.74,193.99,184.84
1133,663.0,572.6,42.09,453.18,469.27,297.57,586.36,556.13,314.8,775.65,520.92,858.79,592.61,663.95
1134,664.0,188.47,780.83,203.5,763.67,679.14,661.26,87.57,156.55,13.95,559.48,11.72,351.97,774.96
1135,665.0,221.29,788.66,196.04,987.35,146.27,221.45,390.04,641.55,362.93,111.23,911.11,940.33,703.55
1136,666.0,569.95,296.76,422.67,574.41,239.58,939.69,998.19,162.23,952.17,125.57,363.9,191.0,877.63
1137,667.0,189.93,60.54,281.0,410.38,560.92,678.07,525.56,655.32,633.23,117.83,581.34,870.39,414.52
1138,668.0,582.26,175.14,36.64,876.42,402.67,291.78,394.14,589.73,670.4,93.9,713.88,584.94,594.89
1139,669.0,639.58,321.47,80.96,9.26,460.98,814.98,681.08,440.94,943.72,865.45,157.14,125.18,422.22
1140,670.0,17.62,359.82,967.04,350.32,778.55,934.27,309.83,279.45,344.63,206.36,614.3,507.36,191.16
1141,671.0,943.0,651.39,742.1,251.03,309.81,970.09,225.74,488.26,767.2,677.85,339.53,432.47,750.57
1142,672.0,232.68,438.54,727.49,634.46,847.06,136.69,356.52,526.24,626.35,479.77,513.62,225.11,905.17
1143,673.0,371.3,276.8,929.19,954.67,905.0,410.13,399.22,275.03,629.88,959.93,631.19,557.35,560.43
1144,674.0,107.03,732.06,845.73,163.8,831.07,867.59,8.17,307.86,224.88,738.26,267.85,595.44,289.25
1145,675.0,960.94,977.93,876.89,89.92,106.68,466.44,362.26,384.74,553.6,856.06,58.55,605.72,133.76
1146,676.0,646.12,8.5,809.0,848.57,132.42,117.59,804.08,709.28,65.88,117.78,342.55,666.43,581.28
1147,677.0,894.08,459.06,652.51,180.0,186.88,927.76,676.24,627.54,979.69,820.3,915.02,74.51,701.02
1148,678.0,325.12,123.77,272.27,589.26,244.77,886.28,908.33,22.79,760.33,793.79,123.75,584.77,281.54
1149,679.0,907.89,565.11,354.89,968.64,582.05,306.07,575.59,485.62,147.57,208.75,328.22,565.52,983.32
1150,680.0,973.51,355.27,679.09,87.25,687.47,3.45,953.26,772.46,399.51,720.39,258.46,398.85,892.1
1151,681.0,761.69,988.38,470.62,916.05,436.65,884.16,496.8,395.36,519.52,35.3,901.22,954.18,658.56
1152,682.0,253.57,976.44,49.78,537.29,71.27,394.55,330.75,235.2,253.17,658.61,602.78,326.22,518.29
1153,683.0,181.68,877.73,84.23,961.06,768.92,10.62,803.87,205.36,837.05,855.71,906.07,754.15,811.01
1154,684.0,499.98,508.15,630.08,501.46,782.33,314.61,378.74,204.7,928.55,960.81,381.81,145.17,798.41
1155,685.0,362.04,854.73,972.24,781.75,175.98,962.69,261.09,746.21,306.77,62.78,720.48,720.67,470.82
1156,686.0,156.11,72.62,810.42,399.98,132.59,626.25,56.59,293.56,339.34,837.62,94.22,445.15,565.9
1157,687.0,403.38,2.94,518.2,947.41,47.95,192.41,962.21,161.54,61.93,410.82,45.03,82.33,492.67
1158,688.0,380.58,247.32,100.9,153.03,204.44,321.08,455.6,257.27,783.15,337.24,108.96,173.42,931.01
1159,689.0,212.31,78.92,712.4,599.59,99.83,436.98,207.2,14.97,146.62,438.46,635.46,764.93,850.24
1160,690.0,691.64,410.34,935.67,153.12,671.24,607.79,771.69,520.87,703.95,266.17,194.41,910.66,652.21
1161,691.0,335.64,507.88,42.21,626.09,929.64,159.48,164.9,261.02,285.11,85.05,949.11,919.3,149.83
1162,692.0,327.34,421.18,678.64,117.74,491.23,37.19,107.44,542.68,258.22,451.1,960.46,130.04,869.55
1163,693.0,915.76,434.92,167.54,269.67,22.94,684.64,300.06,785.69,843.37,584.48,104.38,858.32,370.43
1164,694.0,477.79,98.22,900.89,348.32,811.69,1.35,851.61,590.2,472.11,40.11,942.34,360.96,633.3
1165,695.0,499.34,566.65,158.49,584.15,631.87,886.25,54.77,198.59,305.16,737.0,135.01,783.0,594.74
1166,696.0,2.63,525.02,417.05,492.62,25.53,51.31,305.55,308.02,381.48,736.05,520.24,196.6,749.03
1167,697.0,259.34,448.04,529.22,176.91,594.99,844.13,972.75,790.9,410.37,405.66,435.73,307.69,773.92
1168,698.0,15.02,968.55,857.52,392.41,596.22,927.24,74.03,336.53,701.53,568.76,466.92,967.49,25.44
1169,699.0,260.78,546.49,998.55,211.41,718.54,999.11,129.73,765.33,109.24,607.05,729.22,814.45,341.65
1170,700.0,737.51,493.01,89.05,303.24,67.38,446.94,202.28,539.78,304.6,312.4,272.23,952.9,889.84
1171,701.0,4.69,974.26,698.93,985.96,90.42,959.33,937.26,20.61,712.04,653.09,292.9,187.19,802.41
1172,702.0,404.4,721.01,742.4,868.13,137.33,431.88,269.04,795.11,254.89,918.04,152.47,372.04,899.63
1173,703.0,360.35,764.06,500.07,85.13,860.8,83.94,486.53,869.21,875.02,953.15,494.04,360.14,984.09
1174,704.0,866.6,47.68,294.84,915.98,795.9,949.8,798.36,508.04,649.89,76.18,585.56,482.1,827.23
1175,705.0,69.48,900.34,373.67,257.77,886.36,988.55,383.87,202.56,936.42,260.77,727.55,93.24,832.07
1176,706.0,581.4,197.47,732.01,373.48,187.09,365.91,292.31,651.81,644.29,398.05,857.97,642.99,773.79
1177,707.0,159.19,530.09,957.89,419.52,173.7,785.18,574.43,352.0,515.27,785.68,861.3,354.13,47.97
1178,708.0,347.57,693.92,835.07,731.05,152.48,182.43,650.23,510.97,121.39,319.61,580.39,503.71,71.29
1179,709.0,474.37,182.38,342.52,171.99,441.55,45.16,851.42,426.39,35.93,611.16,508.97,715.23,953.51
1180,710.0,586.44,395.81,739.85,690.23,412.36,38.77,621.69,544.03,695.58,422.95,658.9,982.02,739.7
1181,711.0,858.39,852.5,408.96,560.46,189.39,132.96,52.45,600.78,459.45,7.31,579.6,627.42,658.6
1182,712.0,952.03,226.05,347.45,468.96,133.08,935.65,135.94,56.24,721.88,872.16,325.7,973.06,712.77
1183,713.0,600.68,484.35,861.51,808.78,966.47,276.85,194.13,919.25,116.59,638.98,518.48,642.07,174.23
1184,714.0,858.62,808.91,854.0,364.59,627.85,625.27,360.25,262.34,975.76,551.79,918.22,815.7,995.67
1185,715.0,16.18,702.0,189.69,214.79,879.01,415.44,778.81,366.35,379.4,791.05,858.16,445.09,895.8
1186,716.0,949.91,280.82,184.74,584.89,789.35,997.85,652.65,170.28,258.73,816.91,679.3,490.44,685.45
1187,717.0,456.57,968.6,441.71,121.74,480.86,217.52,738.56,748.85,994.78,105.87,316.89,247.09,965.43
1188,718.0,375.06,521.88,163.38,404.09,295.03,781.27,950.7,969.93,951.19,148.8,525.77,661.57,29.77
1189,719.0,169.94,786.81,454.75,79.04,813.85,714.11,227.66,521.95,392.56,176.66,363.46,881.62,16.12
1190,720.0,689.2,580.97,186.4,62.48,225.4,446.08,848.35,762.67,673.99,330.43,197.2,237.48,563.83
1191,721.0,714.92,356.38,637.7,89.93,474.53,84.1,242.16,826.35,328.27,821.48,71.05,50.89,172.24
1192,722.0,561.47,453.03,195.2,906.61,431.41,863.88,126.03,647.77,112.81,626.87,840.74,662.16,82.68
1193,723.0,905.23,376.31,593.59,714.94,494.65,968.96,576.15,391.89,812.74,210.97,384.66,568.18,831.18
1194,724.0,129.86,251.64,351.16,674.45,212.58,637.47,902.17,711.9,32.93,990.85,935.92,990.86,510.25
1195,725.0,868.03,891.71,311.16,820.55,44.9,983.55,850.02,459.42,920.35,809.69,501.02,569.12,836.87
1196,726.0,17.35,770.81,739.44,190.19,914.75,280.7,893.03,777.11,953.17,71.74,598.56,215.02,542.76
1197,727.0,940.44,487.01,142.9,608.35,882.77,957.47,193.37,462.94,349.65,978.01,519.13,968.43,278.67
1198,728.0,393.29,115.93,993.89,218.3,732.81,500.22,371.5,691.84,936.21,291.42,910.08,521.91,169.7
1199,729.0,408.41,23.54,581.36,669.76,750.25,587.52,54.99,503.11,935.5,924.26,14.71,842.54,282.4
1200,730.0,284.47,868.18,884.9,87.05,162.01,320.33,867.55,4.83,226.46,276.05,819.83,670.14,806.66
1201,731.0,253.06,597.57,74.56,522.87,839.29,890.74,956.2,364.29,608.33,179.25,470.63,8.77,482.82
1202,732.0,845.9,603.53,856.29,658.33,810.98,888.31,477.65,366.13,583.47,539.22,856.25,634.87,420.61
1203,733.0,416.14,920.28,815.09,160.87,650.49,323.33,264.51,355.68,29.34,78.73,2.79,327.13,575.58
1204,734.0,642.47,579.05,357.4,470.28,539.41,428.37,897.34,559.11,385.98,351.4,486.08,440.96,621.55
1205,735.0,359.78,852.18,423.77,643.51,311.29,930.01,39.58,709.77,626.11,934.88,838.95,148.43,227.91
1206,736.0,243.03,998.18,107.08,535.76,997.66,351.59,273.61,48.24,756.91,867.56,498.08,584.21,502.41
1207,737.0,276.84,271.69,543.93,941.38,163.14,781.68,106.72,161.5,885.0,708.12,394.5,928.31,872.87
1208,738.0,788.39,493.48,545.03,251.0,341.45,571.34,175.3,280.93,349.47,459.98,840.86,318.73,5.86
1209,739.0,502.44,940.35,841.65,307.2,420.61,701.61,205.01,424.01,68.28,899.29,136.49,257.57,836.12
1210,740.0,110.95,969.94,561.44,690.34,750.39,832.36,222.65,731.51,571.41,155.04,857.22,606.59,304.28
1211,741.0,412.6,502.15,84.32,905.87,458.26,926.54,674.16,666.58,558.71,504.39,469.02,394.71,992.97
1212,742.0,649.33,197.44,616.81,580.24,329.89,365.67,89.14,341.38,195.03,551.06,158.05,538.03,891.97
1213,743.0,603.16,358.38,57.35,208.98,325.99,829.45,976.3,653.46,634.35,947.73,119.43,523.18,473.32
1214,744.0,949.57,406.39,552.29,969.86,994.53,289.25,842.76,546.18,610.62,751.03,763.38,219.14,170.16
1215,745.0,860.87,23.26,703.52,295.16,108.58,274.51,234.1,694.18,212.76,945.21,748.17,526.18,113.12
1216,746.0,181.0,25.98,27.57,372.8,73.14,668.76,754.91,687.14,397.0,528.24,202.62,665.98,555.91
1217,747.0,254.49,290.24,727.3,376.33,981.8,77.36,759.03,803.01,721.56,423.51,410.34,370.1,36.8
1218,748.0,551.95,486.32,11.61,176.92,205.54,576.92,536.99,260.4,341.86,251.2,221.96,874.58,377.15
1219,749.0,784.99,915.25,107.92,458.3,456.1,34.19,580.84,893.38,964.36,144.31,425.43,564.39,586.69
1220,750.0,76.03,736.56,771.05,75.08,357.94,380.55,468.1,984.53,959.65,400.48,318.88,533.97,400.34
1221,751.0,737.52,810.82,329.3,625.92,913.17,787.45,347.2,570.0,194.41,908.48,375.29,130.61,735.32
1222,752.0,916.36,981.92,35.43,748.51,593.93,171.1,924.25,476.74,416.8,694.14,839.57,101.5,678.99
1223,753.0,692.99,636.84,277.98,326.36,493.01,744.78,845.98,2.46,401.89,320.0,28.35,980.73,514.23
1224,754.0,27.83,70.51,593.11,941.2,515.71,408.89,784.73,389.41,104.78,970.14,529.69,894.46,46.73
1225,755.0,149.79,174.48,306.44,119.24,567.14,512.79,473.81,323.42,857.55,10.84,731.44,167.78,164.41
1226,756.0,195.48,409.94,332.38,792.9,487.84,976.05,421.57,975.45,478.59,617.65,81.75,886.13,294.14
1227,757.0,904.0,620.53,324.45,462.48,231.69,847.41,129.84,651.93,331.34,246.86,223.62,489.64,504.64
1228,758.0,364.96,735.66,769.29,740.05,673.58,266.21,431.32,924.78,610.17,304.86,680.4,175.08,402.0
1229,759.0,362.11,301.77,156.51,373.0,930.89,329.87,474.58,176.61,540.64,508.43,172.55,1.31,582.98
1230,760.0,512.11,442.87,497.16,915.85,294.1,539.7,729.19,379.14,645.31,756.65,925.68,254.47,633.38
1231,761.0,713.97,771.23,672.62,357.15,981.74,906.68,225.15,226.67,839.65,897.35,845.68,117.49,241.78
1232,762.0,805.11,833.38,584.15,29.5,109.46,228.2,959.62,932.35,240.52,448.37,218.95,128.03,956.8
1233,763.0,166.8,453.86,84.64,723.21,695.03,43.53,247.96,476.17,31.38,612.43,613.58,452.84,116.61
1234,764.0,108.86,878.86,937.01,751.31,962.67,141.88,796.51,348.59,236.05,439.97,777.41,731.03,193.97
1235,765.0,181.7,531.04,485.01,801.8,214.47,654.95,722.68,850.59,395.13,138.85,225.26,849.27,363.44
1236,766.0,539.62,702.77,513.67,342.15,445.43,996.84,296.9,7.34,770.68,379.48,388.88,256.51,293.14
1237,767.0,964.24,413.19,248.32,437.98,928.84,630.54,503.72,826.65,665.98,265.13,776.16,740.66,441.72
1238,768.0,383.31,252.16,707.64,914.71,743.15,798.48,441.66,821.25,707.3,244.83,382.59,532.52,228.11
1239,769.0,35.87,268.09,140.75,160.4,235.17,979.27,738.73,289.05,320.44,969.47,366.22,407.17,449.73
1240,770.0,570.31,230.06,114.5,313.77,663.55,389.4,316.96,135.69,97.01,380.85,594.81,473.92,289.59
1241,771.0,174.27,523.66,550.26,431.67,91.66,751.11,276.17,587.27,394.85,429.86,239.61,563.26,929.36
1242,772.0,741.86,789.24,255.11,256.77,443.69,534.11,952.04,300.67,503.98,384.53,49.96,107.64,481.07
1243,773.0,778.62,451.76,994.79,637.62,399.3,649.1,224.14,315.87,489.84,728.57,747.2,877.05,615.57
1244,774.0,655.24,787.86,127.67,44.11,504.3,674.05,610.94,562.35,720.68,946.23,902.75,993.19,266.34
1245,775.0,906.33,498.77,727.28,357.14,774.67,173.44,292.6,184.66,511.38,684.12,395.78,409.3,205.33
1246,776.0,660.15,222.08,999.53,806.6,175.65,833.34,292.41,497.26,578.07,743.47,363.31,592.37,54.93
1247,777.0,387.06,271.02,239.43,641.92,778.46,875.87,52.48,432.24,668.41,188.48,886.93,76.56,883.25
1248,778.0,865.31,83.11,830.3,158.91,207.91,247.48,800.16,850.36,648.51,81.31,480.2,471.9,460.16
1249,779.0,956.51,203.05,863.97,612.19,384.54,377.33,307.82,498.51,416.57,775.67,213.08,748.05,606.73
1250,780.0,934.12,493.18,14.31,261.0,707.25,822.98,310.0,759.93,810.35,528.99,665.7,791.71,358.39
1251,781.0,935.72,492.02,869.4,194.07,87.83,816.45,219.89,139.76,207.15,615.9,55.61,709.47,111.79
1252,782.0,534.01,598.14,705.55,991.53,682.53,61.18,188.32,2.91,205.78,509.74,702.24,769.99,342.9
1253,783.0,745.74,393.82,969.12,27.8,840.08,956.51,303.24,671.97,936.67,964.0,470.77,226.84,283.15
1254,784.0,811.63,968.13,820.1,849.29,890.87,984.72,266.76,186.73,50.42,348.62,816.43,538.78,770.34
1255,785.0,0.82,262.19,229.63,243.35,382.46,98.15,843.5,831.66,245.01,372.65,230.71,205.65,369.7
1256,786.0,899.09,546.25,241.13,22.42,965.87,852.69,599.61,199.32,967.94,638.44,561.97,695.86,528.1
1257,787.0,551.89,129.45,26.45,912.6,279.62,576.43,603.19,192.92,409.17,293.24,369.19,722.78,439.98
1258,788.0,561.44,758.6,805.85,682.8,854.95,500.37,639.13,632.42,603.75,549.92,381.55,525.18,900.83
1259,789.0,13.65,566.78,572.89,111.17,993.84,516.03,342.94,685.4,593.93,708.74,80.34,131.38,120.31
1260,790.0,115.19,191.96,976.36,807.41,77.91,826.13,631.52,224.31,737.22,77.29,323.61,793.09,433.49
1261,791.0,269.99,650.77,776.76,687.31,924.28,750.23,340.97,574.7,639.79,203.01,324.81,491.99,345.22
1262,792.0,645.55,239.69,895.44,510.01,319.6,441.22,744.13,75.98,305.49,340.25,490.98,451.55,223.15
1263,793.0,913.73,93.5,532.2,578.15,826.96,936.58,689.53,154.15,348.75,690.97,831.98,576.41,536.98
1264,794.0,260.91,340.5,649.85,311.49,638.9,676.9,721.12,854.55,561.6,549.05,95.48,337.91,95.73
1265,795.0,898.38,666.21,138.47,202.98,337.65,242.26,899.12,983.77,296.87,713.48,678.04,700.43,391.98
1266,796.0,414.09,472.31,75.13,418.62,673.8,70.19,218.79,587.08,906.85,122.1,114.15,40.37,566.4
1267,797.0,470.98,72.49,613.79,675.62,813.25,133.5,161.57,681.52,251.72,6.13,438.5,312.3,584.27
1268,798.0,300.59,927.19,834.25,961.16,946.51,430.22,319.63,176.3,288.75,437.85,694.47,997.08,529.23
1269,799.0,101.76,427.93,216.57,491.4,888.78,888.79,526.48,556.58,789.24,418.98,35.43,197.19,832.55
1270,800.0,122.58,680.75,682.84,836.74,434.15,872.08,20.72,12.01,148.16,925.19,25.41,138.79,331.43
1271,801.0,626.61,102.93,77.36,812.48,245.6,183.77,80.39,481.32,866.68,23.19,882.65,111.98,968.4
1272,802.0,465.6,216.3,327.96,463.29,806.41,422.17,260.21,130.12,238.35,17.77,890.11,969.17,700.18
1273,803.0,396.5,432.36,622.06,263.36,389.31,796.66,466.13,218.35,942.12,980.05,939.49,881.82,478.99
1274,804.0,784.63,195.48,765.89,390.55,654.02,37.35,381.91,82.42,207.16,44.39,816.55,413.32,21.09
1275,805.0,227.12,565.85,461.6,714.68,696.63,674.42,445.64,202.47,275.34,88.79,919.37,310.19,335.98
1276,806.0,775.06,358.11,744.3,399.82,352.62,155.61,680.0,885.64,758.81,909.38,605.97,829.95,761.11
1277,807.0,13.82,41.65,683.56,459.23,823.91,472.58,351.81,991.75,269.26,130.36,548.7,627.62,77.52
1278,808.0,438.9,29.6,472.16,2.74,326.36,22.91,892.46,636.83,75.25,819.72,200.94,462.71,775.49
1279,809.0,287.75,778.73,743.28,307.46,614.24,196.67,496.83,788.21,209.25,951.68,26.6,653.23,203.13
1280,810.0,50.57,47.3,329.27,705.49,111.62,720.76,620.86,599.89,400.33,304.31,409.03,105.88,555.15
1281,811.0,441.22,588.16,741.05,106.32,828.29,647.03,169.74,585.78,540.19,259.18,402.05,953.07,123.13
1282,812.0,39.57,872.68,972.47,148.25,124.2,618.54,291.94,97.32,979.66,26.02,911.99,790.84,686.19
1283,813.0,183.05,620.32,151.26,519.86,719.94,43.17,380.39,980.32,556.09,647.39,395.96,886.47,676.16
1284,814.0,354.15,993.03,159.29,862.02,745.38,65.87,986.13,413.71,42.88,41.44,952.6,115.08,681.65
1285,815.0,966.55,379.36,876.94,246.45,363.65,447.78,305.11,581.8,192.7,496.19,745.06,540.38,588.4
1286,816.0,190.57,626.11,1.88,107.77,742.8,339.56,969.02,386.73,52.64,372.53,397.57,809.67,292.38
1287,817.0,250.07,108.33,903.65,390.3,471.07,733.99,190.82,650.66,437.36,212.64,112.15,623.86,139.36
1288,818.0,410.14,762.8,34.79,155.96,957.63,991.27,433.07,796.37,621.23,521.82,434.29,629.12,104.45
1289,819.0,686.49,934.3,199.95,948.02,460.9,0.7,846.75,956.4,842.59,772.49,665.88,533.6,633.51
1290,820.0,538.84,611.48,182.69,6.22,646.02,531.87,439.84,645.46,524.2,34.63,32.17,50.53,325.96
1291,821.0,873.88,110.33,519.8,204.78,719.95,706.41,494.77,992.44,6.42,605.14,683.51,466.49,329.56
1292,822.0,124.01,624.48,696.07,7.38,118.93,265.55,395.4,678.29,150.64,485.11,527.09,788.81,147.5
1293,823.0,903.44,656.31,308.65,953.12,137.22,823.4,664.0,451.19,968.22,54.78,901.2,838.38,409.99
1294,824.0,234.5,803.64,566.84,446.12,536.45,88.62,195.45,233.13,331.11,857.3,795.72,649.94,372.21
1295,825.0,369.62,279.64,912.02,387.55,886.92,416.84,863.8,838.3,143.49,225.72,451.64,352.92,462.95
1296,826.0,941.11,264.48,82.8,712.39,99.2,25.35,922.26,628.13,428.43,939.71,562.84,416.87,220.87
1297,827.0,988.72,658.49,628.55,776.05,16.53,573.53,903.4,582.43,213.79,93.82,467.88,763.53,862.88
1298,828.0,775.49,978.99,31.33,47.93,847.2,852.96,131.37,120.96,552.8,155.08,347.14,636.06,233.13
1299,829.0,460.15,318.54,478.01,776.7,378.66,643.59,512.03,629.82,617.72,648.22,409.06,942.88,863.19
1300,830.0,451.25,271.72,512.33,460.13,505.34,155.24,245.31,453.36,990.73,493.19,795.25,343.34,162.42
1301,831.0,569.99,926.35,573.82,241.16,77.24,699.74,92.62,575.56,921.54,394.82,587.83,924.3,139.41
1302,832.0,482.02,749.81,770.86,194.59,583.13,622.47,289.02,727.33,756.19,734.62,506.25,562.52,127.97
1303,833.0,257.61,28.77,766.84,604.16,307.72,302.98,86.04,705.27,877.17,865.63,23.51,268.63,378.03
1304,834.0,217.0,637.91,566.91,456.36,425.71,631.66,74.7,342.26,522.85,769.13,378.79,659.85,279.61
1305,835.0,659.85,159.21,221.88,284.4,99.45,975.28,556.26,287.97,541.16,880.96,225.75,951.47,53.86
1306,836.0,644.93,199.06,385.98,44.67,303.2,810.99,693.33,530.05,758.56,413.75,300.06,649.21,663.72
1307,837.0,156.08,674.38,815.62,849.02,161.76,676.49,11.4,213.82,591.03,371.4,512.61,196.12,149.03
1308,838.0,824.39,374.33,9.62,702.54,427.66,832.32,353.49,468.68,643.61,318.73,662.71,549.53,609.48
1309,839.0,98.89,167.25,206.8,45.39,987.75,357.1,840.55,515.92,570.31,536.35,678.47,183.58,950.22
1310,840.0,558.04,228.23,378.18,681.74,157.14,114.35,482.97,34.12,854.61,770.95,414.3,864.85,977.42
1311,841.0,985.8,152.37,212.29,285.49,103.56,471.62,254.97,48.93,144.36,365.37,127.79,510.81,385.64
1312,842.0,255.7,391.66,287.89,667.33,82.21,705.58,90.8,418.86,513.84,461.33,804.2,270.76,583.03
1313,843.0,118.69,703.47,917.77,5.78,208.02,700.99,770.69,140.69,17.36,784.37,693.51,779.51,282.77
1314,844.0,571.18,873.31,322.5,292.46,572.85,620.49,171.56,737.78,893.16,268.47,909.17,358.44,164.98
1315,845.0,783.48,444.99,512.6,605.21,343.14,709.01,81.18,841.64,109.23,623.12,726.97,352.03,94.56
1316,846.0,173.47,528.17,137.91,329.44,938.58,954.84,858.94,679.76,700.05,315.02,538.06,598.77,123.85
1317,847.0,611.01,163.78,40.7,759.93,408.94,181.69,402.51,292.52,434.31,927.21,154.24,784.56,616.26
1318,848.0,510.82,119.67,254.1,761.67,808.42,45.11,109.68,969.65,908.51,40.24,679.38,305.87,693.79
1319,849.0,779.26,728.24,82.11,728.08,571.48,533.84,533.77,329.11,217.49,320.79,748.12,458.47,602.72
1320,850.0,740.39,369.26,309.65,734.71,65.24,849.84,344.05,777.01,530.55,577.02,758.7,984.87,162.49
1321,851.0,424.99,756.49,488.4,389.44,652.29,382.65,146.72,558.63,600.14,223.31,165.73,338.62,25.26
1322,852.0,845.81,478.07,808.54,94.27,412.54,97.42,464.86,894.4,575.79,434.48,972.66,1.87,877.22
1323,853.0,967.29,556.08,25.5,23.66,347.32,129.9,863.44,4.71,597.71,5.05,824.81,313.67,240.36
1324,854.0,655.99,910.23,304.27,507.73,102.43,446.43,866.49,321.32,4.94,367.21,955.49,753.38,358.83
1325,855.0,179.9,976.04,713.54,804.87,265.42,58.15,858.59,852.83,464.74,241.57,963.17,865.07,832.68
1326,856.0,595.36,544.11,157.66,625.99,223.26,727.62,252.61,997.47,289.13,317.83,131.13,879.14,518.4
1327,857.0,467.17,808.03,358.98,387.07,175.87,98.94,222.97,336.07,514.07,431.28,541.36,212.77,102.77
1328,858.0,61.36,826.0,163.77,375.52,520.5,368.55,794.88,349.4,290.26,682.3,589.08,105.0,516.04
1329,859.0,308.4,328.81,55.65,508.09,925.92,663.23,181.87,975.74,677.04,544.57,508.65,649.73,72.92
1330,860.0,774.85,621.76,707.72,982.59,925.69,684.96,55.03,69.02,770.83,322.2,464.52,576.99,542.25
1331,861.0,908.34,902.48,847.92,923.94,425.37,580.28,753.26,554.14,628.48,402.27,293.82,254.46,964.3
1332,862.0,568.52,670.54,907.74,319.76,166.77,191.53,840.97,533.01,591.25,650.71,119.42,874.38,604.43
1333,863.0,133.28,699.26,680.59,453.49,985.6,479.5,494.39,220.4,816.97,543.84,158.31,125.25,137.37
1334,864.0,517.12,99.93,805.86,458.77,535.39,274.93,439.17,924.89,154.91,284.41,205.37,181.88,2.3
1335,865.0,304.22,27.87,474.89,574.72,807.33,842.77,338.63,916.89,908.4,781.2,410.75,664.8,904.36
1336,866.0,652.36,5.58,592.82,420.32,785.49,389.79,497.47,287.88,587.57,72.02,257.12,235.31,31.25
1337,867.0,141.98,994.7,945.84,971.44,281.94,739.22,155.8,405.15,440.04,635.75,880.06,563.05,133.6
1338,868.0,916.77,495.57,779.7,438.2,995.79,582.38,213.0,917.71,740.25,980.62,131.71,273.86,913.38
1339,869.0,146.11,753.16,520.83,309.13,512.99,441.26,206.65,982.62,808.4,370.37,64.84,550.92,959.24
1340,870.0,259.63,938.08,546.16,978.61,730.77,665.55,298.8,521.4,974.64,328.77,910.3,387.85,137.26
1341,871.0,676.22,400.77,717.94,774.76,688.57,742.45,110.7,534.73,588.07,745.03,463.71,786.91,685.76
1342,872.0,807.92,504.97,866.48,935.18,7.36,943.73,983.24,228.54,336.43,434.66,448.69,211.98,972.7
1343,873.0,525.48,788.61,875.86,28.88,663.1,226.52,843.8,644.72,506.4,626.43,664.31,966.75,285.62
1344,874.0,771.64,283.11,334.55,46.1,244.75,382.66,144.54,110.71,633.65,566.19,447.63,174.66,381.22
1345,875.0,758.85,852.92,678.91,822.95,975.45,544.96,423.97,742.63,347.16,733.23,841.34,494.43,286.07
1346,876.0,67.48,557.93,110.34,657.6,40.13,275.43,189.78,842.0,199.12,95.25,577.19,112.07,536.2
1347,877.0,375.07,248.48,359.49,213.62,794.46,379.64,747.17,805.73,578.06,596.04,987.79,123.37,574.94
1348,878.0,29.06,629.7,345.38,115.74,436.69,299.78,78.95,51.17,875.44,404.94,310.9,574.6,57.98
1349,879.0,367.94,625.79,68.56,817.48,337.65,441.34,924.12,293.12,464.55,333.99,811.44,759.36,842.67
1350,880.0,107.56,681.38,695.61,842.44,37.73,951.88,877.5,352.0,519.29,973.46,744.23,350.17,878.55
1351,881.0,170.47,665.23,975.27,826.16,446.88,703.74,98.26,830.6,660.88,96.24,278.72,253.2,238.86
1352,882.0,740.16,368.05,29.64,123.03,293.97,820.47,762.18,526.1,128.68,909.45,762.53,595.81,633.45
1353,883.0,154.37,111.49,824.17,479.73,285.23,548.01,1.3,924.51,181.34,340.07,995.72,41.43,699.64
